model	parname	begin	num	default	type	link	formula	bystratum	tostrata	cjs	whichlevel	interval	nointercept	include	mlogit	obs	firstonly
NULL	dummy	0	0	0	Triang	logit	~1	FALSE	FALSE	FALSE	0	FALSE	FALSE			FALSE	FALSE
MSCJS	S	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MSCJS	p	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSCJS	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"stratum,tostratum"	"id,occ,stratum"	FALSE	FALSE
MVMSCJS	Phi	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MVMSCJS	p	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MVMSCJS	delta	0	0	0	Triang	log	~1	TRUE	FALSE	FALSE	0	FALSE	FALSE	"stratum,obs.stratum"	"id,occ,stratum"	TRUE	FALSE
MVMSCJS	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"stratum,tostratum"	"id,occ,stratum"	FALSE	FALSE
MVMSCJS	pi	0	-1	0	Triang	log	~0	TRUE	FALSE	FALSE	0	FALSE	FALSE	"id,stratum"	id	FALSE	TRUE
MVMS	Phi	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MVMS	p	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MVMS	delta	1	-1	0	Triang	log	~1	TRUE	FALSE	FALSE	0	FALSE	FALSE	"stratum,obs.stratum"	"id,occ,stratum"	TRUE	FALSE
MVMS	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"stratum,tostratum"	"id,occ,stratum"	FALSE	FALSE
MVMS	pi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"id,stratum"	id	FALSE	FALSE
MSLD	S	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MSLD	r	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MSLD	p	1	0	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSLD	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"stratum,tostratum"	"id,occ,stratum"	FALSE	FALSE
SMSLD	S	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
SMSLD	r	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
SMSLD	p	1	0	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
SMSLD	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	"stratum,tostratum"	"id,occ,stratum"	FALSE	FALSE
MSJS	S	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MSJS	p	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSJS	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	stratum,tostratum	id,occ,stratum	FALSE	FALSE
MSJS	pent	-1	0	0	Triang	log	~1	FALSE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSJS	pi	-1	0	0	Triang	log	~1	TRUE	FALSE	FALSE	0	FALSE	FALSE	stratum	id,occ,stratum	FALSE	FALSE
MSJSU	S	0	-1	1	Triang	logit	~1	TRUE	FALSE	FALSE	0	TRUE	FALSE			FALSE	FALSE
MSJSU	p	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSJSU	Psi	0	-1	0	Triang	log	~1	TRUE	TRUE	FALSE	0	FALSE	FALSE	stratum,tostratum	id,occ,stratum	FALSE	FALSE
MSJSU	pent	-1	0	0	Triang	log	~1	FALSE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE
MSJSU	pi	-1	0	0	Triang	log	~1	TRUE	FALSE	FALSE	0	FALSE	FALSE	stratum	id,occ,stratum	FALSE	FALSE
MSJSU	delta	1	-1	0	Triang	logit	~1	TRUE	FALSE	TRUE	0	FALSE	FALSE			FALSE	FALSE

